From,To,Distance
USA,CAN,731
USA,BHM,1623
USA,CUB,1813
USA,HAI,2286
USA,DOM,2358
USA,JAM,2315
USA,TRI,3494
USA,BAR,3330
USA,DMA,3208
USA,GRN,3332
USA,SLU,3180
USA,SVG,3240
USA,AAB,2834
USA,SKN,2760
USA,BLZ,2606
USA,MEX,3024
USA,GUA,2993
USA,HON,2922
USA,SAL,3024
USA,NIC,3103
USA,COS,3282
USA,PAN,3325
USA,COL,3808
USA,VEN,3349
USA,GUY,4009
USA,SUR,4273
USA,ECU,4314
USA,PER,5651
USA,BRA,6722
USA,BOL,6170
USA,PAR,7383
USA,CHL,8015
USA,ARG,8318
USA,URU,8382
USA,UK,5932
USA,IRE,5445
USA,NTH,6198
USA,BEL,6246
USA,LUX,6381
USA,FRN,6194
USA,MNC,6752
USA,LIE,6727
USA,SWZ,6629
USA,SPN,6105
USA,AND,6383
USA,POR,5759
USA,GMY,6739
USA,GFR,6432
USA,GDR,6739
USA,POL,7197
USA,AUH,7130
USA,AUS,7130
USA,HUN,7368
USA,CZE,6905
USA,CZR,6905
USA,SLO,7183
USA,ITA,7273
USA,SNM,7104
USA,MLT,7727
USA,ALB,7777
USA,SER,7635
USA,MNG,7654
USA,MAC,7833
USA,CRO,7275
USA,YUG,7635
USA,BOS,7562
USA,SLV,7122
USA,GRC,8244
USA,CYP,9119
USA,BUL,7952
USA,MLD,7970
USA,RUM,8006
USA,RUS,7873
USA,EST,6981
USA,LAT,7126
USA,LIT,7320
USA,UKR,7858
USA,BLR,7500
USA,ARM,9418
USA,GRG,9433
USA,AZE,9708
USA,FIN,6934
USA,SWD,6647
USA,NOR,6260
USA,DEN,6535
USA,ICE,4526
USA,CAP,5715
USA,STP,9412
USA,GNB,6761
USA,EQG,9602
USA,GAM,6540
USA,MLI,7353
USA,SEN,6400
USA,BEN,8686
USA,MAA,6270
USA,NIR,8166
USA,CDI,7994
USA,GUI,7073
USA,BFO,7917
USA,LBR,7527
USA,SIE,7172
USA,GHA,8540
USA,TOG,8559
USA,CAO,9657
USA,NIG,8744
USA,GAB,9696
USA,CEN,10209
USA,CHA,9338
USA,CON,10484
USA,DRC,10484
USA,UGA,11674
USA,KEN,12116
USA,TAZ,12691
USA,ZAN,12686
USA,BUI,11623
USA,RWA,11557
USA,SOM,12582
USA,DJI,11654
USA,ETH,11513
USA,ERI,11041
USA,ANG,10578
USA,MZM,13403
USA,ZAM,12375
USA,ZIM,12721
USA,MAW,12690
USA,SAF,12989
USA,TRA,12989
USA,OFS,13048
USA,NAM,11858
USA,LES,13123
USA,BOT,12730
USA,SWA,13287
USA,MAG,14225
USA,COM,13383
USA,MAS,15205
